"","req_tot","repartition_requetes","done","problematic"
"54","AU-ID(23027745300) OR AU-ID(23034077600) OR AU-ID(23034345900) OR AU-ID(23037273100) OR AU-ID(23048949300) OR AU-ID(23051132900) OR AU-ID(23052377700) OR AU-ID(23052386900) OR AU-ID(23052633000) OR AU-ID(23052794800)","Mathis2",0,0
"55","AU-ID(23059304600) OR AU-ID(23059513900) OR AU-ID(23059550100) OR AU-ID(23060293400) OR AU-ID(23061463200) OR AU-ID(23062226900) OR AU-ID(23091108200) OR AU-ID(23091250100) OR AU-ID(23092848400) OR AU-ID(23093089200)","Mathis2",0,0
"56","AU-ID(23096172000) OR AU-ID(23096605100) OR AU-ID(23096649300) OR AU-ID(23097042000) OR AU-ID(23098277300) OR AU-ID(23098491600) OR AU-ID(23098764200) OR AU-ID(23099008300) OR AU-ID(23099718100) OR AU-ID(23100563000)","Mathis2",0,0
"57","AU-ID(23110630300) OR AU-ID(23111463500) OR AU-ID(23111788700) OR AU-ID(23135877600) OR AU-ID(23388216900) OR AU-ID(23395170100) OR AU-ID(23395920800) OR AU-ID(23397176600) OR AU-ID(23397282500) OR AU-ID(23397578900)","Mathis2",0,0
"58","AU-ID(23466271800) OR AU-ID(23466946100) OR AU-ID(23467107900) OR AU-ID(23468332600) OR AU-ID(23469324500) OR AU-ID(23470509100) OR AU-ID(23471055100) OR AU-ID(23473220100) OR AU-ID(23473488600) OR AU-ID(23475904400)","Mathis2",0,0
"59","AU-ID(23476429900) OR AU-ID(23476981500) OR AU-ID(23476990300) OR AU-ID(23478847300) OR AU-ID(23484633800) OR AU-ID(23485020100) OR AU-ID(23485151900) OR AU-ID(23485412100) OR AU-ID(23485508700) OR AU-ID(23485575300)","Mathis2",0,0
"60","AU-ID(23486446100) OR AU-ID(23486796300) OR AU-ID(23487280300) OR AU-ID(23487691700) OR AU-ID(23488040800) OR AU-ID(23488322500) OR AU-ID(23488430200) OR AU-ID(23488620900) OR AU-ID(23489483200) OR AU-ID(23490037000)","Mathis2",0,0
"61","AU-ID(23490684300) OR AU-ID(23491561800) OR AU-ID(23491812100) OR AU-ID(23492281300) OR AU-ID(23492370600) OR AU-ID(23493891800) OR AU-ID(23494095500) OR AU-ID(23494260800) OR AU-ID(23496339500) OR AU-ID(23496383200)","Mathis2",0,0
"62","AU-ID(23499725700) OR AU-ID(23499949100) OR AU-ID(23501863600) OR AU-ID(23566424200) OR AU-ID(23566606800) OR AU-ID(23568138400) OR AU-ID(23568329200) OR AU-ID(23569147200) OR AU-ID(23569249000) OR AU-ID(23666182800)","Mathis2",0,0
"63","AU-ID(23667578000) OR AU-ID(23670479400) OR AU-ID(23670670900) OR AU-ID(23767262500) OR AU-ID(23968093000) OR AU-ID(23970333100) OR AU-ID(23972112200) OR AU-ID(23972622800) OR AU-ID(23972746900) OR AU-ID(23974525500)","Mathis2",0,0
"64","AU-ID(23978263000) OR AU-ID(23978583900) OR AU-ID(23979377500) OR AU-ID(23979842100) OR AU-ID(23980010900) OR AU-ID(23981570900) OR AU-ID(23983113900) OR AU-ID(23984211200) OR AU-ID(23984324100) OR AU-ID(23984724000)","Mathis2",0,0
"65","AU-ID(23985596400) OR AU-ID(23989799100) OR AU-ID(23990459900) OR AU-ID(23990626200) OR AU-ID(23991073500) OR AU-ID(23992443900) OR AU-ID(23993101400) OR AU-ID(23993175200) OR AU-ID(23993427200) OR AU-ID(23994013200)","Mathis2",0,0
"66","AU-ID(24066372700) OR AU-ID(24067931300) OR AU-ID(24068081500) OR AU-ID(24069270200) OR AU-ID(24069781500) OR AU-ID(24075481000) OR AU-ID(24075763100) OR AU-ID(24077086200) OR AU-ID(24077196600) OR AU-ID(24167768500)","Mathis2",0,0
